name,medicare_provider_number,address,city,county,state,zip_code,telephone,primary_contact,coo,cfo,cmo,cio,chr,cno,web_address,control,services,staffed_beds,personnel
NOLAND HOSPITAL BIRMINGHAM,012009,"50 Medical Park East Drive, 8th  Floor",BIRMINGHAM,Jefferson County,ALABAMA,35235,205/838-5100,"Laura S. Wills, Administrator","Sharon Engle, Director Clinical Services",,"Mark Middlebrooks, M.D.",,"Ashley Clark, Coordinator Human Resources","Rachel Chapman, Nurse Manager",www.nolandhealth.com,Other not-for-profit (including NFP Corporation),Acute long-term care hospital,45,
SELECT SPECIALTY HOSPITAL–BIRMINGHAM,012008,"2010 Brookwood  Medical Center Drive, 3rd Floor",BIRMINGHAM,Jefferson County,ALABAMA,35209-6804,205/599-4600,"Andrew Howard, Chief Executive Officer",,,"Allan Goldstein, M.D.",,,,www.birmingham.selectspecialtyhospitals.com,"Corporation, Investor-owned (for-profit)",Acute long-term care hospital,38,
UAB CALLAHAN EYE HOSPITAL,010018,1720 University Boulevard,BIRMINGHAM,Jefferson County,ALABAMA,35233-1816,205/325-8100,"Jarrod G. Johnson, FACHE",,"Libby Bailey, Chief Financial Officer","Robert Morris, M.D.","Maxine Nichols, Director Information Systems","Karen H Burleson, Assistant Vice President Human Resources",,www.uabmedicine.org/locations/uab-callahan-eye-hospital,Other not-for-profit (including NFP Corporation),"Eye, ear, nose and throat",20,
UAB ST. VINCENT'S BIRMINGHAM,010056,810 St Vincent's Drive,BIRMINGHAM,Jefferson County,ALABAMA,35205-1695,205/939-7000,,"Andy Davis, Chief Operating Officer","Wilma Newton, Executive Vice President and Chief Financial Officer","Wesley Smith, M.D.","Timothy Stettheimer, Vice President and Chief Information Officer","Michelle Galipeau, Director Human Resources",,https://uabstvincents.org/locations/uab-st-vincents-birmingham/,Other not-for-profit (including NFP Corporation),General medical and surgical,387,1718
UAB ST. VINCENT'S EAST,010011,50 Medical Park East Drive,BIRMINGHAM,Jefferson County,ALABAMA,35235-9987,205/838-3000,"Suzannah Campbell, President",,"Jan DiCesare, Vice President Financial Operations","Frank Malensek, M.D.","Beverly Golightly, Director Information Technology","Carol Maietta, Vice President Human Resources and Chief Learning Officer","Amy Shelton, Chief Nursing Officer",https://healthcare.ascension.org/locations/alabama/albir/,Other not-for-profit (including NFP Corporation),General medical and surgical,291,1038
LAKE MARTIN COMMUNITY HOSPITAL,010052,201 Mariarden  Road,DADEVILLE,Tallapoosa County,ALABAMA,36853-6251,256/825-7821,"Michael Bruce, Chief Executive Officer",,,,,"Karen Treadwell, Director Human Resources",,www.lakemartincommunityhospital.com,"Partnership, Investor-owned (for-profit)",General medical and surgical,25,
EASTPOINTE HOSPITAL,014017,7400 Roper Lane,DAPHNE,Baldwin County,ALABAMA,36526-5274,251/378-6500,"Jarett Crum, Chief Hospital Officer",,"Kevin Markham, Chief Financial Officer","Sandra K Parker, M.D.","Steve Dolan, Chief Information Officer","Alicia Donoghue, Director Human Resources",,https://altapointe.org/eastpointe-hospital/,Other not-for-profit (including NFP Corporation),Psychiatric,82,142
DECATUR MORGAN HOSPITAL,010085,1201 Seventh Street SE,DECATUR,Morgan County,ALABAMA,35601-3303,256/341-2000,"Kelli Powers, President",,"Danny Crowe, Chief Financial Officer","Allen J Schmidt, M.D.","Mark Megehee, Vice President and Chief Information Officer",,"Anita Walden, Vice President and Chief Nursing Officer",www.decaturgeneral.org,"Hospital district or authority, Government, Nonfederal",General medical and surgical,110,
WHITFIELD REGIONAL HOSPITAL,010112,105 U S Highway 80  East,DEMOPOLIS,Marengo County,ALABAMA,36732-3616,334/289-4000,"Douglas L. Brewer, Chief Executive Officer","Dereck Morrison, Assistant Administrator","Doug A. Brooker, Chief Financial Officer","John G. Kahler, M.D.",,,,www.bwwmh.com,"Hospital district or authority, Government, Nonfederal",General medical and surgical,47,
ENCOMPASS HEALTH REHABILITATION HOSPITAL OF DOTHAN,013030,1736 East Main Street,DOTHAN,Houston County,ALABAMA,36301-3040,334/712-6333,"Margaret A. Futch, Chief Executive Officer",,"Heath Watson, Controller",,,"Lydia Christion, Director Human Resources",,www.encompasshealth.com/dothanrehab,"Corporation, Investor-owned (for-profit)",Rehabilitation,51,
ATRIUM HEALTH FLOYD CHEROKEE MEDICAL CENTER,010022,400  Northwood Drive,CENTRE,Cherokee County,ALABAMA,35960-1023,256/927-5531,"Tifani Kinard, Chief Executive Officer",,"Philip Wheeler, Chief Financial Officer",,,"Marlene Benefield, Director Human Resources","Tifani Kinard, Chief Nursing Officer",www.cherokeemedicalcenter.com,Other not-for-profit (including NFP Corporation),General medical and surgical,45,144
BIBB MEDICAL CENTER,010058,208 Pierson Avenue,CENTREVILLE,Bibb County,ALABAMA,35042-2918,205/926-4881,"Joseph Marchant, Administrator",,"Heather Desmond, Chief Financial Officer","John Meigs, M.D.",,"Karen Daniel, Director Human Resources",,www.bibbmedicalcenter.com,"County, Government, Nonfederal",General medical and surgical,166,
WASHINGTON COUNTY HOSPITAL,011300,14600 St Stephens  Avenue,CHATOM,Washington County,ALABAMA,36518-9998,251/847-2223,"Teresa G. Grimes, Chief Executive Officer",,,"Steve Donald, M.D.","Brady Wright, Information Technology Network Administrator","Linda Randolph, Director Personnel Services","Michelle Alford, R.N.",www.wchnh.org,"County, Government, Nonfederal",General medical and surgical,20,
UAB ST. VINCENT'S CHILTON,010173,2030 Lay Dam Road,CLANTON,Chilton County,ALABAMA,35045,205/258-4400,"Shanon Hamilton, Administrator",,,,,,,https://www.stvhs.com/chilton/,Other not-for-profit (including NFP Corporation),General medical and surgical,26,93
CULLMAN REGIONAL MEDICAL CENTER,010035,1912 Alabama  Highway 157,CULLMAN,Cullman County,ALABAMA,35055,256/737-2000,"James Clements, Chief Executive Officer","Nesha Donaldson, Chief Operating Officer",,"William E. Smith, M.D.","Nancy Zavatchen, Director Information Technology","Toni Geddings, Director Human Resources","Charna Brown, Chief Nursing Officer",www.crmchospital.com,Other not-for-profit (including NFP Corporation),General medical and surgical,145,
THE SANCTUARY AT THE WOODLANDS,014016,1910 Cherokee Avenue  SW,CULLMAN,Cullman County,ALABAMA,35055-5502,256/255-0820,"Kyle Smith, Chief Executive Officer",,,,,,,https://woodlandpsychiatric.com/,"Corporation, Investor-owned (for-profit)",Psychiatric,40,
MEDICAL CENTER BARBOUR,011307,820 West Washington Street,EUFAULA,Barbour County,ALABAMA,36027-1899,334/688-7000,"Janet Kinney, Chief Executive Officer",,"Vann Windham, Chief Financial Officer",,,"Cindy Griffin, Director Human Resources","Missy Thomas, Chief Nursing Officer",www.medctrbarbour.org,"Hospital district or authority, Government, Nonfederal",General medical and surgical,40,107
GREENE COUNTY HEALTH SYSTEM,010051,509 Wilson Avenue,EUTAW,Greene County,ALABAMA,35462-1099,205/372-3388,"Marcia Pugh, Chief Executive Officer",,"Beverly Averette, Chief Financial Officer",,,,,www.gcheutaw.com,"County, Government, Nonfederal",General medical and surgical,92,
EVERGREEN MEDICAL CENTER,010148,101 Crestview Avenue,EVERGREEN,Conecuh County,ALABAMA,36401-3333,251/578-2480,"Tom McLendon, President and Chief Executive Officer",,"Jeremy Craig, Chief Financial Officer","William Farmer, M.D.",,"Tracey Rhodes, Coordinator Human Resources","Angie Hendrix, Director of Nursing",www.evergreenmedical.org,"Partnership, Investor-owned (for-profit)",General medical and surgical,44,
THOMAS HOSPITAL,010100,750 Morphy Avenue,FAIRHOPE,Baldwin County,ALABAMA,36532-1812,251/928-2375,"Ormand P. Thompson, President","Douglas Garner, Vice President",,"Michael McBrearty, M.D.",,,"Julie Rowell, R.N.",www.thomashospital.com,Other not-for-profit (including NFP Corporation),General medical and surgical,255,1342
FAYETTE MEDICAL CENTER,010045,1653 Temple Avenue North,FAYETTE,Fayette County,ALABAMA,35555-1314,205/932-5966,"Donald J. Jones, FACHE",,"Jeff Huff, Assistant Administrator Finance",,,"Felicia Solomon-Owens, Director Human Resources",,www.dchsystem.com,"Hospital district or authority, Government, Nonfederal",General medical and surgical,167,
FLOWERS HOSPITAL,010055,4370 West Main Street,DOTHAN,Houston County,ALABAMA,36305-4000,334/793-5000,"Steve Gordon, Chief Executive Officer","Matthew H Blevins, Chief Operating Officer","Phillip Childree, Chief Financial Officer",,"Matthew Garrett, Director Information Systems","Jennifer Odom, Interim Director Human Resources","Dan L Cumbie, Chief Nursing Officer",www.flowershospital.com,"Corporation, Investor-owned (for-profit)",General medical and surgical,203,
LAUREL OAKS BEHAVIORAL HEALTH CENTER,014013,700 East  Cottonwood Road,DOTHAN,Houston County,ALABAMA,36301-3644,334/794-7373,"Jeanette Jackson, Chief Executive Officer",,,"Nelson Handol, M.D.",,"Lorrie Evans, Director Human Resources",,www.laureloaksbhc.com,"Corporation, Investor-owned (for-profit)",Children's hospital psychiatric,118,
NOLAND HOSPITAL DOTHAN,012010,"1108 Ross Clark Circle, 4th Floor",DOTHAN,Houston County,ALABAMA,36301-3022,334/699-4300,"Dennis W. Stewart, Administrator",,,,,,,www.nolandhealth.com,Other not-for-profit (including NFP Corporation),Acute long-term care hospital,38,
SOUTHEAST ALABAMA MEDICAL CENTER,010001,1108 Ross Clark  ⇑ Circle,DOTHAN,Houston County,ALABAMA,36301-3024,334/793-8111,"Richard O. Sutton, FACHE","Charles C Brannen, Senior Vice President and Chief Operating Officer","Derek Miller, Senior Vice President and Chief Financial Officer",Charles Harkness,"Eric Allen Daffron, Division Director","Tony Welch, Vice President Human Resources","Diane Buntyn, MSN",www.samc.org,"Hospital district or authority, Government, Nonfederal",General medical and surgical,387,
MEDICAL CENTER ENTERPRISE,010049,400 North Edwards Street,ENTERPRISE,Coffee County,ALABAMA,36330-2510,334/347-0584,"Joey Hester, Chief Executive Officer",,"Greg McGilvray, Chief Financial Officer","Patrick Lett, M.D.","Stephen Smothers, Director Information Systems","Toni Kaminski, Director Human Resources","Barry Eads, R.N.",www.mcehospital.com,"Corporation, Investor-owned (for-profit)",General medical and surgical,99,362
GADSDEN REGIONAL MEDICAL CENTER,010040,1007 Goodyear Avenue,GADSDEN,Etowah County,ALABAMA,35903-1195,256/494-4000,"Michael D. Hall, Chief Executive Officer","Cullen Summers, Chief Operating Officer","Kandi Garmany, Interim Chief Financial Officer","John Pirani, M.D.","Mike Guest, Director Information Systems","Jennifer Tucker, Director Human Resources","Traci Howard, Chief Nursing Officer",www.gadsdenregional.com,"Corporation, Investor-owned (for-profit)",General medical and surgical,166,908
MOUNTAIN VIEW HOSPITAL,014006,3001 Scenic Highway,GADSDEN,Etowah County,ALABAMA,35904-3047,256/546-9265,"Renae Strickler, Chief Executive Officer",,"Mary Jensen, Controller","G. Michael Shehi, M.D.",,"Dave Jensen, Director Human Resources",,www.mtnviewhospital.com,"Corporation, Investor-owned (for-profit)",Psychiatric,39,
RIVERVIEW REGIONAL MEDICAL CENTER,010046,600 South Third  Street,GADSDEN,Etowah County,ALABAMA,35901-5399,256/543-5200,"John Langlois, Chief Executive Officer",,,,"Jay Terrell, Manager Management Information Systems","Leslie Morton, Manager Human Resources",,www.riverviewregional.com,"Corporation, Investor-owned (for-profit)",General medical and surgical,280,
WIREGRASS MEDICAL CENTER,011309,1200 West Maple Avenue,GENEVA,Geneva County,ALABAMA,36340-1694,334/684-3655,"Janet Smith, Chief Executive Officer",,,,,"Tim Tidwell, Human Resources Director","Ashley Tanner, Director of Nursing",www.wiregrassmedicalcenter.org,"Hospital district or authority, Government, Nonfederal",General medical and surgical,147,
HALE COUNTY HOSPITAL,010095,508 Green Street,GREENSBORO,Hale County,ALABAMA,36744-2316,334/624-3024,"Shay Cherry, Administrator",,,,,,,www.halecountyhospital.com,"Hospital district or authority, Government, Nonfederal",General medical and surgical,20,
REGIONAL MEDICAL CENTER OF CENTRAL ALABAMA,010150,29 L V  Stabler Drive,GREENVILLE,Butler County,ALABAMA,36037-3800,334/382-2671,"Patrick Trammell, Chief Executive Officer",,"David Wilcox, Chief Financial Officer","Norman F McGowin, M.D.","Doug Burkett, Manager Information Technology","Robert Foster, Director Human Resources","Kimberli Weaver, Chief Nursing Officer",www.rmcca.com/,"City, Government, Nonfederal",General medical and surgical,61,
NORTH ALABAMA MEDICAL CENTER,010006,1701 Veterans Drive,FLORENCE,Lauderdale County,ALABAMA,35630-6033,256/629-1000,"Mike Howard, Market President and Chief Executive Officer",,"Steve E. Hobbs, Chief Financial Officer","Oliver Matthews, M.D.","Raul Velez, Information Technology Director","Cheryl Lee, Human Resources Director",,https://namccares.com/,"Corporation, Investor-owned (for-profit)",General medical and surgical,243,1547
BALDWIN HEALTH,010083,1613 North McKenzie Street,FOLEY,Baldwin County,ALABAMA,36535-2299,251/949-3400,"Margaret Roley, Chief Executive Officer",,"Brad Hardcastle, Chief Financial Officer",Lee Eslava,,"Pamela J Brunson, Director Human Resources","Margaret Roley, Chief Nursing Officer",www.southbaldwinrmc.com,"Corporation, Investor-owned (for-profit)",General medical and surgical,142,684
DEKALB REGIONAL MEDICAL CENTER,010012,200 Medical Center  Drive,FORT PAYNE,Dekalb County,ALABAMA,35968-3458,256/845-3150,"Darrell Blaylock, Chief Executive Officer",,"Phillip Fouts, Chief Financial Officer","Anthony Sims, M.D.","Joseph Helms, Director Information Systems","Kim Reed, Director Human Resources","Angela Bennett, Chief Nursing Officer",www.dekalbregional.com,"Corporation, Investor-owned (for-profit)",General medical and surgical,115,
ENCOMPASS HEALTH REHABILITATION HOSPITAL OF GADSDEN,013032,801 Goodyear Avenue,GADSDEN,Etowah County,ALABAMA,35903-1133,256/439-5000,"Al Rayburn, Chief Executive Officer",,"Lori Norman, Chief Financial Officer",Vladimir Slutsker,"Lori Norman, Chief Financial Officer","Rhonda Young, Human Resource Director","Barry Eads, R.N.",www.encompasshealth.com/gadsdenrehab,"Corporation, Investor-owned (for-profit)",Rehabilitation,49,
ENCOMPASS HEALTH REHABILITATION HOSPITAL OF NORTH ALABAMA,013029,107 Governors Drive SW,HUNTSVILLE,Madison County,ALABAMA,35801-4326,256/535-2300,"Brent Mills, Chief Executive Officer",,,,,,,www.encompasshealth.com/huntsvillerehab,"Corporation, Investor-owned (for-profit)",Rehabilitation,85,
HUNTSVILLE HOSPITAL,010039,101 Sivley Road SW,HUNTSVILLE,Madison County,ALABAMA,35801-4470,256/265-1000,"Jeff Samz, Chief Executive Officer",,"Kelli Powers, Chief Financial Officer","Robert Chappell, M.D.","Rick Corn, Chief Information Officer","Andrea P Rosler, Vice President Human Resources","Karol Jones, Chief Nursing Officer",www.huntsvillehospital.org,"Hospital district or authority, Government, Nonfederal",General medical and surgical,956,9067
UNITY PSYCHIATRIC CARE–HUNTSVILLE,014018,5315 Millennium Drive  NW,HUNTSVILLE,Madison County,ALABAMA,35806-2458,256/964-6700,"Kyle Smith, Administrator",,,,,,,https://www.unitypsych.com/huntsville,"Corporation, Investor-owned (for-profit)",Psychiatric,20,
JACKSON MEDICAL CENTER,010128,220 Hospital Drive,JACKSON,Clarke County,ALABAMA,36545-2459,251/246-9021,"Jennifer M. Ryland, R.N.","Jennifer M Ryland, R.N.",,,,"Kathy Jones, Director Human Resources",,www.jacksonmedicalcenter.org,"Partnership, Investor-owned (for-profit)",General medical and surgical,26,
BAPTIST HEALTH WALKER HOSPITAL,010089,3400 Highway 78  East,JASPER,Walker County,ALABAMA,35501-8907,205/387-4000,"Adam Rudd, Interim President",,"Kimberly Albright, Chief Financial Officer",,"Kenny Horton, Director Information Systems","Regina Griffin, Manager","Elizabeth Lavelle, Chief Nursing Officer",www.bhsala.com,"Church operated, Nongovernment, not-for-profit",General medical and surgical,178,
GROVE HILL MEMORIAL HOSPITAL,010091,295 South Jackson  Street,GROVE HILL,Clarke County,ALABAMA,36451-3231,251/275-3191,"Allen Jordan, Chief Executive Officer",,"Alyson Overstreet, Chief Financial Officer","Eniola Fagbongbe, M.D.","Aaron Harrell, Director","Aubrey Sheffield, Administrative Assistant Human Resources and Public Relations","Karen Coleman, Director of Nursing",https://gh-health.org/,"City, Government, Nonfederal",General medical and surgical,20,
MARSHALL MEDICAL CENTER NORTH,010010,8000 Alabama Highway  69,GUNTERSVILLE,Marshall County,ALABAMA,35976,256/571-8000,"Christopher Rush, President",,"Taylor Walker, Chief Financial Officer","Victor Sparks, M.D.","David Mize, Director of Information Technology","Sabrina Weaver, Director of Human Resources","Kathy Woodruff, R.N.",www.mmcenters.com,"Hospital district or authority, Government, Nonfederal",General medical and surgical,76,
LAKELAND COMMUNITY HOSPITAL,010125,Highway 195 East,HALEYVILLE,Winston County,ALABAMA,35565-9536,205/486-5213,"Cherie Sibley, R.N.",,"Kimberly Albright, Chief Financial Officer",,,,,https://lakelandcommunityhospital.com,"Hospital district or authority, Government, Nonfederal",General medical and surgical,59,
NORTH MISSISSIPPI MEDICAL CENTER–HAMILTON,010044,1256  Military Street South,HAMILTON,Marion County,ALABAMA,35570-5003,205/921-6200,"Robin Mixon, Administrator",,,"Jarred Sartain, M.D.",,"Anne Lawler, Director Human Resources","Jennifer Cagle, Director of Nursing",www.nmhs.net,Other not-for-profit (including NFP Corporation),General medical and surgical,15,
CRESTWOOD MEDICAL CENTER,010131,1 Hospital Drive,HUNTSVILLE,Madison County,ALABAMA,35801-3403,256/429-4000,"Justin Serrano, Chief Executive Officer",,"Sherry J Jones, Chief Financial Officer",,,"David A Brown, Human Resources Director","Martha Delaney Walls, R.N.",www.crestwoodmedcenter.com,"Corporation, Investor-owned (for-profit)",General medical and surgical,180,
SPRINGHILL MEDICAL CENTER,010144,3719 Dauphin Street,MOBILE,Mobile County,ALABAMA,36608-1798,251/344-9630,"Jeffery M. St Clair, President and Chief Executive Officer","Rene Areaux, Vice President and Chief Operating Officer","Jan Grigsby, Vice President and Chief Financial Officer","Liston Jones, M.D.","Mark Kilborn, Director Information Systems","Daniela Batchelor, Director Human Resources","Paul Read, R.N.",www.springhillmedicalcenter.com,"Corporation, Investor-owned (for-profit)",General medical and surgical,219,
USA HEALTH CHILDREN'S & WOMEN'S HOSPITAL,013301,1700 Center  Street,MOBILE,Mobile County,ALABAMA,36604-3301,251/415-1000,"Deborah Browning, MSN",,"Traci Jones, Chief Financial Officer","Michael Chang, M.D.","Dan Howard, Chief Information Officer","Janice Rehm, Manager Human Resources",,www.usahealthsystem.com/usacwh,,Other specialty treatment,139,
